I,II,V1,V2,V3,V4,V5,V6,III,aVR,aVL,aVF
-29,58,29,-117,-126,-136,-136,-68,87,-14,-58,72
-29,43,14,-131,-131,-136,-136,-68,72,-7,-50,57
-29,29,0,-146,-136,-136,-136,-68,58,0,-43,43
-39,14,0,-146,-136,-146,-141,-63,53,12,-46,33
-48,9,0,-146,-136,-146,-146,-58,57,19,-52,33
-58,4,0,-146,-136,-146,-151,-53,62,27,-60,33
-68,0,0,-146,-136,-146,-156,-48,68,34,-68,34
-63,-9,-19,-165,-151,-161,-161,-58,54,36,-58,22
-58,-9,-39,-185,-165,-165,-165,-68,49,33,-53,20
-53,-9,-58,-204,-180,-170,-170,-78,44,31,-48,17
-48,-9,-78,-224,-195,-175,-175,-87,39,28,-43,15
-34,-14,-63,-214,-185,-170,-156,-78,20,24,-27,3
-29,-19,-48,-204,-175,-165,-146,-68,10,24,-19,-4
-24,-24,-34,-195,-165,-161,-136,-58,0,24,-12,-12
-19,-29,-19,-185,-156,-156,-126,-48,-10,24,-4,-19
-9,-19,-39,-204,-165,-161,-136,-63,-10,14,0,-14
-9,-9,-48,-214,-175,-165,-146,-68,0,9,-4,-4
-9,0,-58,-224,-185,-170,-156,-73,9,4,-9,4
-9,9,-68,-234,-195,-175,-165,-78,18,0,-13,13
-9,-9,-58,-214,-180,-165,-151,-68,0,9,-4,-4
-9,-29,-48,-204,-165,-156,-146,-58,-20,19,5,-24
-9,-48,-39,-195,-151,-146,-141,-48,-39,28,15,-43
-9,-68,-29,-185,-136,-136,-136,-39,-59,38,25,-63
4,-68,-24,-185,-136,-122,-122,-29,-72,32,38,-70
9,-68,-19,-185,-136,-117,-117,-29,-77,29,43,-72
14,-68,-14,-185,-136,-112,-112,-29,-82,27,48,-75
19,-68,-9,-185,-136,-107,-107,-29,-87,24,53,-77
9,-73,0,-180,-131,-92,-102,-29,-82,32,45,-77
0,-78,0,-175,-126,-87,-97,-29,-78,39,39,-78
-9,-82,0,-170,-122,-82,-92,-29,-73,45,32,-77
-19,-87,0,-165,-117,-78,-87,-29,-68,53,24,-77
-34,-73,-14,-175,-131,-92,-102,-34,-39,53,2,-56
-39,-68,-19,-185,-136,-97,-107,-39,-29,53,-5,-48
-43,-63,-24,-195,-141,-102,-112,-43,-20,53,-11,-41
-48,-58,-29,-204,-146,-107,-117,-48,-10,53,-19,-34
-39,-78,-43,-224,-161,-117,-122,-58,-39,58,0,-58
-39,-87,-58,-234,-165,-126,-126,-58,-48,63,4,-67
-39,-97,-73,-244,-170,-136,-131,-58,-58,68,9,-77
-39,-107,-87,-253,-175,-146,-136,-58,-68,73,14,-87
0,-78,-78,-248,-161,-141,-122,-53,-78,39,39,-78
29,-58,-68,-244,-156,-136,-107,-48,-87,14,58,-72
58,-39,-58,-239,-151,-131,-92,-43,-97,-9,77,-68
87,-19,-48,-234,-146,-126,-78,-39,-106,-34,96,-62
73,-19,-48,-224,-141,-122,-78,-24,-92,-27,82,-55
68,-19,-48,-224,-136,-117,-78,-19,-87,-24,77,-53
63,-19,-48,-224,-131,-112,-78,-14,-82,-22,72,-50
58,-19,-48,-224,-126,-107,-78,-9,-77,-19,67,-48
58,-29,-58,-239,-136,-97,-73,-24,-87,-14,72,-58
58,-39,-58,-244,-136,-97,-68,-29,-97,-9,77,-68
58,-48,-58,-248,-136,-97,-63,-34,-106,-5,82,-77
58,-58,-58,-253,-136,-97,-58,-39,-116,0,87,-87
48,-73,-73,-268,-151,-107,-58,-48,-121,12,84,-97
39,-87,-78,-273,-156,-107,-58,-48,-126,24,82,-106
29,-102,-82,-278,-161,-107,-58,-48,-131,36,80,-116
19,-117,-87,-283,-165,-107,-58,-48,-136,49,77,-126
9,-126,-78,-268,-161,-102,-48,-39,-135,58,72,-130
0,-126,-78,-263,-156,-97,-39,-39,-126,63,63,-126
-9,-126,-78,-258,-151,-92,-29,-39,-117,67,54,-121
-19,-126,-78,-253,-146,-87,-19,-39,-107,72,44,-116
-14,-107,-102,-278,-161,-78,-9,-58,-93,60,39,-100
-9,-87,-117,-292,-165,-78,-9,-68,-78,48,34,-82
-4,-68,-131,-307,-170,-78,-9,-78,-64,36,30,-66
0,-48,-146,-322,-175,-78,-9,-87,-48,24,24,-48
4,-68,-151,-326,-185,-78,0,-68,-72,32,38,-70
9,-78,-156,-331,-185,-78,9,-58,-87,34,48,-82
14,-87,-161,-336,-185,-78,19,-48,-101,36,57,-94
19,-97,-165,-341,-185,-78,29,-39,-116,39,67,-106
39,-78,-156,-336,-170,-48,53,-14,-117,19,78,-97
58,-68,-146,-331,-156,-29,78,0,-126,5,92,-97
78,-58,-136,-326,-141,-9,102,14,-136,-10,107,-97
97,-48,-126,-322,-126,9,126,29,-145,-24,121,-96
97,-24,-141,-336,-146,4,112,14,-121,-36,109,-72
97,0,-156,-351,-156,0,107,0,-97,-48,97,-48
97,24,-170,-366,-165,-4,102,-14,-73,-60,85,-24
97,48,-185,-380,-175,-9,97,-29,-49,-72,73,0
