I,II,V1,V2,V3,V4,V5,V6,III,aVR,aVL,aVF
87,0,87,146,9,-58,2059,-29,-87,-43,87,-43
107,9,73,136,19,-58,2064,-29,-98,-58,102,-44
126,9,68,136,19,-58,2069,-29,-117,-67,121,-54
146,9,63,136,19,-58,2074,-29,-137,-77,141,-64
165,9,58,136,19,-58,2078,-29,-156,-87,160,-73
151,0,58,136,19,-58,2088,-34,-151,-75,151,-75
146,0,58,136,19,-58,2088,-39,-146,-73,146,-73
141,0,58,136,19,-58,2088,-43,-141,-70,141,-70
136,0,58,136,19,-58,2088,-48,-136,-68,136,-68
141,4,48,146,39,-48,2093,-43,-137,-72,139,-66
146,9,48,146,48,-39,2098,-39,-137,-77,141,-64
151,14,48,146,58,-29,2103,-34,-137,-82,144,-61
156,19,48,146,68,-19,2108,-29,-137,-87,146,-59
185,29,58,156,82,-4,2113,-19,-156,-107,170,-63
204,39,58,156,87,0,2117,-19,-165,-121,184,-63
224,48,58,156,92,4,2122,-19,-176,-136,200,-64
244,58,58,156,97,9,2127,-19,-186,-151,215,-64
229,48,43,146,97,0,2137,-29,-181,-138,205,-66
224,39,29,136,97,0,2137,-29,-185,-131,204,-73
219,29,14,126,97,0,2137,-29,-190,-124,204,-80
214,19,0,117,97,0,2137,-29,-195,-116,204,-88
248,48,14,131,112,14,2142,-14,-200,-148,224,-76
273,68,19,136,126,29,2147,-9,-205,-170,239,-68
297,87,24,141,141,43,2152,-4,-210,-192,253,-61
322,107,29,146,156,58,2156,0,-215,-214,268,-54
302,87,19,136,141,48,2161,0,-215,-194,258,-64
292,68,9,126,136,48,2166,0,-224,-180,258,-78
283,48,0,117,131,48,2171,0,-235,-165,259,-93
273,29,-9,107,126,48,2176,0,-244,-151,258,-107
283,19,-29,92,122,39,2181,-14,-264,-151,273,-122
283,19,-39,78,117,39,2186,-19,-264,-151,273,-122
283,19,-48,63,112,39,2191,-24,-264,-151,273,-122
283,19,-58,48,107,39,2196,-29,-264,-151,273,-122
307,43,-53,58,117,43,2205,-24,-264,-175,285,-110
331,68,-48,58,117,48,2205,-19,-263,-199,297,-97
356,92,-43,58,117,53,2205,-14,-264,-224,310,-86
380,117,-39,58,117,58,2205,-9,-263,-248,321,-73
361,102,-43,48,102,43,2210,-19,-259,-231,310,-78
351,87,-48,39,97,39,2215,-29,-264,-219,307,-88
341,73,-53,29,92,34,2220,-39,-268,-207,304,-97
331,58,-58,19,87,29,2225,-48,-273,-194,302,-107
307,24,-78,4,63,14,2230,-68,-283,-165,295,-129
283,0,-87,-9,48,0,2235,-78,-283,-141,283,-141
258,-24,-97,-24,34,-14,2239,-87,-282,-117,270,-153
234,-48,-107,-39,19,-29,2244,-97,-282,-93,258,-165
278,-9,-97,-29,34,-19,2249,-87,-287,-134,282,-148
312,29,-87,-19,39,-9,2254,-78,-283,-170,297,-127
346,68,-78,-9,43,0,2259,-68,-278,-207,312,-105
380,107,-68,0,48,9,2264,-58,-273,-243,326,-83
356,78,-78,-9,29,-9,2269,-73,-278,-217,317,-100
331,58,-78,-19,19,-19,2274,-78,-273,-194,302,-107
307,39,-78,-29,9,-29,2278,-82,-268,-173,287,-114
283,19,-78,-39,0,-39,2283,-87,-264,-151,273,-122
292,39,-68,-29,0,-39,2293,-78,-253,-165,272,-107
302,48,-68,-29,0,-39,2293,-78,-254,-175,278,-103
312,58,-68,-29,0,-39,2293,-78,-254,-185,283,-98
322,68,-68,-29,0,-39,2293,-78,-254,-195,288,-93
297,53,-78,-34,-9,-53,2298,-87,-244,-175,270,-95
283,39,-78,-39,-19,-58,2303,-87,-244,-161,263,-102
268,24,-78,-43,-29,-63,2308,-87,-244,-146,256,-110
253,9,-78,-48,-39,-68,2313,-87,-244,-131,248,-117
263,14,-73,-39,-39,-68,2318,-78,-249,-138,256,-117
263,19,-68,-39,-39,-68,2322,-78,-244,-141,253,-112
263,24,-63,-39,-39,-68,2327,-78,-239,-143,251,-107
263,29,-58,-39,-39,-68,2332,-78,-234,-146,248,-102
244,9,-58,-48,-53,-82,2337,-87,-235,-126,239,-113
224,0,-58,-48,-58,-87,2342,-87,-224,-112,224,-112
204,-9,-58,-48,-63,-92,2347,-87,-213,-97,208,-111
185,-19,-58,-48,-68,-97,2352,-87,-204,-83,194,-111
204,-4,-48,-39,-68,-97,2357,-78,-208,-100,206,-106
224,9,-48,-39,-68,-97,2361,-78,-215,-116,219,-103
244,24,-48,-39,-68,-97,2366,-78,-220,-134,232,-98
263,39,-48,-39,-68,-97,2371,-78,-224,-151,243,-92
239,24,-43,-29,-78,-97,2376,-68,-215,-131,227,-95
224,19,-39,-29,-78,-97,2381,-68,-205,-121,214,-93
209,14,-34,-29,-78,-97,2386,-68,-195,-111,202,-90
195,9,-29,-29,-78,-97,2391,-68,-186,-102,190,-88
204,19,-19,-19,-78,-97,2396,-58,-185,-111,194,-83
204,19,-19,-19,-78,-97,2400,-58,-185,-111,194,-83
204,19,-19,-19,-78,-97,2405,-58,-185,-111,194,-83
204,19,-19,-19,-78,-97,2410,-58,-185,-111,194,-83
200,4,-29,-24,-82,-112,2415,-63,-196,-102,198,-96
195,0,-29,-29,-87,-117,2420,-68,-195,-97,195,-97
190,-4,-29,-34,-92,-122,2425,-73,-194,-93,192,-99
185,-9,-29,-39,-97,-126,2430,-78,-194,-88,189,-101
161,-14,-34,-43,-102,-141,2435,-87,-175,-73,168,-94
146,-19,-39,-48,-107,-146,2440,-87,-165,-63,155,-92
131,-24,-43,-53,-112,-151,2444,-87,-155,-53,143,-89
117,-29,-48,-58,-117,-156,2449,-87,-146,-44,131,-87
136,0,-34,-48,-112,-151,2454,-73,-136,-68,136,-68
156,19,-19,-39,-107,-146,2459,-68,-137,-87,146,-59
175,39,-4,-29,-102,-141,2464,-63,-136,-107,155,-48
195,58,9,-19,-97,-136,2469,-58,-137,-126,166,-39
175,48,0,-24,-102,-146,2474,-68,-127,-111,151,-39
165,39,0,-29,-107,-146,2479,-68,-126,-102,145,-43
156,29,0,-34,-112,-146,2483,-68,-127,-92,141,-49
146,19,0,-39,-117,-146,2488,-68,-127,-82,136,-54
131,9,0,-29,-117,-156,2493,-58,-122,-70,126,-56
117,0,0,-29,-117,-156,2498,-58,-117,-58,117,-58
102,-9,0,-29,-117,-156,2503,-58,-111,-46,106,-60
87,-19,0,-29,-117,-156,2508,-58,-106,-34,96,-62
63,-29,-14,-34,-126,-161,2513,-63,-92,-17,77,-60
48,-39,-19,-39,-126,-165,2518,-68,-87,-4,67,-63
34,-48,-24,-43,-126,-170,2522,-73,-82,7,58,-65
19,-58,-29,-48,-126,-175,2527,-78,-77,19,48,-67
43,-39,-9,-39,-117,-161,2532,-63,-82,-2,62,-60
58,-19,0,-29,-107,-156,2537,-58,-77,-19,67,-48
73,0,9,-19,-97,-151,2542,-53,-73,-36,73,-36
87,19,19,-9,-87,-146,2547,-48,-68,-53,77,-24
92,29,24,-4,-78,-141,2552,-39,-63,-60,77,-17
97,39,29,0,-78,-136,2557,-39,-58,-68,77,-9
102,48,34,4,-78,-131,2562,-39,-54,-75,78,-3
107,58,39,9,-78,-126,2566,-39,-49,-82,78,4
82,39,34,0,-87,-131,2571,-53,-43,-60,62,-2
58,19,29,0,-87,-136,2576,-58,-39,-38,48,-10
34,0,24,0,-87,-141,2581,-63,-34,-17,34,-17
9,-19,19,0,-87,-146,2586,-68,-28,5,18,-23
0,-29,24,4,-78,-136,2591,-68,-29,14,14,-29
0,-29,29,9,-78,-136,2596,-68,-29,14,14,-29
0,-29,34,14,-78,-136,2601,-68,-29,14,14,-29
0,-29,39,19,-78,-136,2605,-68,-29,14,14,-29
14,-4,43,24,-63,-131,2610,-53,-18,-5,16,-11
29,9,48,29,-58,-126,2615,-48,-20,-19,24,-5
43,24,53,34,-53,-122,2620,-43,-19,-33,31,2
58,39,58,39,-48,-117,2625,-39,-19,-48,38,10
68,53,78,48,-39,-107,2630,-24,-15,-60,41,19
78,68,87,58,-29,-97,2635,-19,-10,-73,44,29
87,82,97,68,-19,-87,2640,-14,-5,-84,46,38
97,97,107,78,-9,-78,2644,-9,0,-97,48,48
87,87,102,78,-9,-78,2649,-19,0,-87,43,43
87,78,97,78,-9,-78,2654,-19,-9,-82,48,34
87,68,92,78,-9,-78,2659,-19,-19,-77,53,24
102,68,97,82,-4,-73,2664,-14,-34,-85,68,17
78,63,102,82,-4,-78,2669,-24,-15,-70,46,24
73,48,107,92,-4,-73,2684,-14,-25,-60,49,11
53,34,107,97,-9,-63,2688,-14,-19,-43,36,7
34,9,107,97,-14,-73,2688,-19,-25,-21,29,-8
4,-4,92,82,-29,-82,2693,-34,-8,0,6,-6
-9,-19,82,73,-29,-82,2693,-34,-10,14,0,-14
-9,-9,73,68,-29,-82,2698,-34,0,9,-4,-4
19,4,68,68,-29,-78,2703,-34,-15,-11,17,-5
68,24,68,68,-24,-63,2718,-19,-44,-46,56,-10
58,34,68,68,-9,-63,2723,-14,-24,-46,41,5
63,43,68,73,-14,-63,2727,-14,-20,-53,41,11
53,48,68,73,-14,-63,2723,-14,-5,-50,29,21
63,53,53,63,-24,-63,2732,-4,-10,-58,36,21
82,58,43,58,-24,-68,2742,-4,-24,-70,53,17
112,78,43,58,-24,-68,2742,-4,-34,-95,73,22
131,92,43,53,-24,-63,2742,0,-39,-111,85,26
141,107,48,58,-19,-53,2757,14,-34,-124,87,36
141,112,39,53,-14,-39,2766,9,-29,-126,85,41
131,92,29,43,-19,-48,2771,9,-39,-111,85,26
122,78,29,48,-24,-48,2757,9,-44,-100,83,17
156,87,19,39,-34,-63,2762,0,-69,-121,112,9
146,97,9,34,-39,-68,2771,0,-49,-121,97,24
141,87,9,34,-39,-68,2786,0,-54,-114,97,16
141,87,14,34,-39,-68,2796,0,-54,-114,97,16
131,63,14,39,-34,-73,2796,-4,-68,-97,99,-2
117,58,9,34,-43,-73,2796,-9,-59,-87,88,0
117,58,9,34,-43,-73,2806,-9,-59,-87,88,0
117,58,9,34,-39,-68,2815,-9,-59,-87,88,0
117,53,19,29,-48,-73,2830,-9,-64,-85,90,-5
112,48,24,34,-48,-78,2825,-14,-64,-80,88,-8
112,48,19,34,-53,-82,2830,-19,-64,-80,88,-8
107,43,14,34,-58,-87,2835,-24,-64,-75,85,-10
73,14,14,24,-63,-92,2830,-43,-59,-43,66,-22
68,14,14,24,-68,-92,2840,-43,-54,-41,61,-20
63,14,14,24,-73,-97,2859,-39,-49,-38,56,-17
53,14,14,24,-73,-102,2869,-39,-39,-33,46,-12
43,4,4,34,-87,-107,2869,-48,-39,-23,41,-17
14,-14,4,24,-102,-122,2859,-58,-28,0,21,-21
-9,-43,4,19,-102,-126,2869,-73,-34,26,12,-38
-14,-53,0,14,-107,-126,2888,-73,-39,33,12,-46
-34,-68,0,0,-112,-131,2893,-82,-34,51,0,-51
-53,-82,0,0,-117,-141,2898,-87,-29,67,-12,-55
-58,-97,-4,0,-117,-146,2903,-87,-39,77,-9,-68
-53,-92,-4,4,-112,-146,2908,-82,-39,72,-7,-65
-9,-43,14,14,-102,-122,2918,-73,-34,26,12,-38
34,0,29,29,-92,-112,2928,-53,-34,-17,34,-17
68,29,39,39,-82,-102,2928,-43,-39,-48,53,-5
97,48,48,43,-78,-102,2928,-43,-49,-72,73,0
97,53,53,48,-73,-92,2937,-39,-44,-75,70,4
82,58,53,53,-68,-92,2942,-29,-24,-70,53,17
68,68,48,58,-63,-92,2952,-19,0,-68,34,34
63,78,48,63,-63,-92,2957,-14,15,-70,24,46
48,53,43,43,-82,-107,2967,-39,5,-50,21,29
39,34,39,39,-87,-117,2967,-43,-5,-36,22,14
29,9,34,34,-87,-126,2976,-48,-20,-19,24,-5
14,-14,29,29,-87,-136,2996,-53,-28,0,21,-21
0,-24,19,19,-102,-141,3006,-63,-24,12,12,-24
-4,-29,14,14,-107,-141,3001,-63,-25,16,10,-27
-9,-24,9,4,-112,-146,3001,-63,-15,16,3,-19
-24,-48,4,0,-126,-151,3001,-63,-24,36,0,-36
-9,-29,19,9,-117,-141,3010,-48,-20,19,5,-24
9,0,29,19,-107,-131,3020,-43,-9,-4,9,-4
34,39,43,29,-92,-117,3030,-34,5,-36,14,22
48,68,53,43,-82,-107,3045,-29,20,-58,14,44
34,24,48,39,-97,-122,3045,-43,-10,-29,22,7
0,-9,39,24,-107,-136,3045,-53,-9,4,4,-9
-14,-34,29,14,-122,-146,3040,-63,-20,24,3,-27
-29,-58,19,9,-126,-151,3040,-68,-29,43,0,-43
-43,-58,9,4,-112,-156,3054,-68,-15,50,-14,-36
-29,-43,14,4,-112,-151,3059,-68,-14,36,-7,-28
-34,-39,19,4,-107,-151,3064,-63,-5,36,-14,-22
-39,-39,19,9,-107,-151,3074,-63,0,39,-19,-19
-24,-19,24,14,-97,-146,3084,-53,5,21,-14,-7
-19,-4,29,14,-102,-141,3089,-53,15,11,-17,5
4,14,39,19,-102,-141,3084,-53,10,-9,-3,12
34,34,43,24,-102,-136,3098,-48,0,-34,17,17
14,34,53,34,-92,-136,3113,-43,20,-24,-3,27
-29,19,43,29,-102,-146,3113,-53,48,5,-38,33
-43,29,68,53,-102,-151,3123,-58,72,7,-57,50
-78,-4,78,73,-107,-165,3128,-78,74,41,-76,35
-102,-53,87,92,-102,-165,3132,-92,49,77,-75,-2
-117,-87,87,126,-78,-156,3142,-102,30,102,-73,-28
-107,-87,97,156,-29,-136,3147,-92,20,97,-63,-33
-87,-68,92,165,19,-102,3152,-82,19,77,-53,-24
-43,-48,78,151,87,-24,3157,-48,-5,45,-19,-26
39,24,58,131,175,97,3167,9,-15,-31,27,4
126,117,34,112,278,224,3172,87,-9,-121,67,54
200,165,-4,68,356,341,3181,141,-35,-182,117,65
263,190,-63,14,429,463,3186,195,-73,-226,168,58
370,258,-141,-68,527,605,3191,278,-112,-314,241,73
492,346,-258,-204,610,766,3201,366,-146,-419,319,100
590,414,-390,-370,683,927,3206,448,-176,-502,383,119
712,483,-531,-531,756,1088,3211,531,-229,-597,470,127
819,546,-673,-688,805,1200,3215,614,-273,-682,546,136
834,551,-829,-858,810,1273,3225,663,-283,-692,558,134
834,531,-941,-1010,775,1302,3225,683,-303,-682,568,114
814,483,-1029,-1137,673,1215,3240,658,-331,-648,572,76
780,429,-1107,-1259,453,1000,3245,585,-351,-604,565,39
732,375,-1156,-1356,190,722,3250,507,-357,-553,544,9
673,331,-1141,-1395,-48,463,3250,429,-342,-502,507,-5
605,263,-1117,-1395,-248,229,3264,336,-342,-434,473,-39
527,170,-1102,-1381,-429,0,3269,229,-357,-348,442,-93
488,107,-1058,-1337,-595,-219,3274,141,-381,-297,434,-137
453,73,-985,-1273,-756,-405,3279,68,-380,-263,416,-153
405,29,-922,-1185,-844,-517,3284,0,-376,-217,390,-173
361,9,-844,-1083,-829,-527,3289,-34,-352,-185,356,-171
317,14,-732,-922,-732,-473,3303,-34,-303,-165,310,-144
287,4,-614,-766,-644,-434,3308,-58,-283,-145,285,-139
239,-58,-512,-649,-585,-414,3308,-92,-297,-90,268,-177
200,-82,-429,-522,-512,-390,3323,-102,-282,-59,241,-182
180,-43,-336,-405,-409,-336,1542,-78,-223,-68,201,-133
161,-14,-263,-302,-331,-287,1542,-68,-175,-73,168,-94
117,-29,-200,-234,-287,-263,1522,-68,-146,-44,131,-87
92,-29,-156,-180,-244,-244,1503,-63,-121,-31,106,-75
58,-9,-136,-141,-224,-229,1512,-78,-67,-24,62,-38
39,9,-112,-117,-219,-234,1522,-82,-30,-24,34,-10
9,-4,-58,-78,-200,-214,1522,-73,-13,-2,11,-8
-19,-34,-14,-43,-170,-190,1517,-73,-15,26,-2,-24
-48,-48,9,-4,-136,-180,1532,-82,0,48,-24,-24
-53,-58,14,19,-117,-165,1537,-97,-5,55,-24,-31
-53,-58,19,24,-102,-156,1542,-92,-5,55,-24,-31
-29,-19,29,34,-92,-146,1546,-87,10,24,-19,-4
9,29,39,48,-78,-131,1551,-78,20,-19,-5,24
0,29,48,63,-82,-126,1561,-68,29,-14,-14,29
0,53,63,73,-82,-126,1576,-68,53,-26,-26,53
-4,39,68,82,-78,-131,1576,-68,43,-17,-23,41
-4,39,68,87,-78,-136,1586,-68,43,-17,-23,41
-9,29,58,87,-63,-122,1576,-73,38,-10,-23,33
-4,29,68,87,-53,-122,1576,-78,33,-12,-18,31
-19,19,68,82,-53,-112,1581,-78,38,0,-28,28
-34,0,68,82,-53,-112,1571,-78,34,17,-34,17
-43,-4,68,82,-53,-112,1561,-68,39,23,-41,17
-53,-9,73,87,-53,-112,1571,-68,44,31,-48,17
-58,-19,73,92,-53,-112,1571,-68,39,38,-48,10
-63,-24,78,92,-53,-107,1566,-73,39,43,-51,7
-58,-24,68,92,-63,-117,1527,-78,34,41,-46,5
-48,-24,68,97,-53,-117,1507,-82,24,36,-36,0
-43,-14,68,107,-48,-107,1488,-82,29,28,-36,7
-34,-9,68,97,-48,-107,1478,-87,25,21,-29,8
-43,-24,73,97,-48,-117,1454,-92,19,33,-31,-2
-43,-29,73,97,-43,-117,1424,-92,14,36,-28,-7
-53,-34,78,97,-43,-117,1400,-87,19,43,-36,-7
-63,-29,78,102,-43,-117,1376,-87,34,46,-48,2
-34,-4,87,122,-24,-97,1351,-78,30,19,-32,13
-24,9,97,126,-14,-87,1327,-73,33,7,-28,21
-29,19,102,131,-9,-73,1312,-63,48,5,-38,33
-19,34,102,136,0,-78,1298,-58,53,-7,-36,43
-29,29,92,131,-9,-78,1278,-63,58,0,-43,43
-29,9,92,126,-9,-78,1268,-68,38,10,-33,23
-29,4,92,126,-24,-82,1263,-68,33,12,-31,18
-19,4,92,131,-14,-82,1259,-63,23,7,-21,13
-48,0,82,131,-19,-73,1254,-63,48,24,-48,24
-43,4,82,126,-19,-73,1249,-63,47,19,-45,25
-48,0,82,122,-19,-73,1244,-63,48,24,-48,24
-53,-19,82,117,-19,-78,1239,-68,34,36,-43,7
-53,-14,82,107,-14,-87,1229,-73,39,33,-46,12
-63,-9,82,107,-14,-82,1215,-68,54,36,-58,22
-48,-4,82,112,0,-73,1220,-73,44,26,-46,20
-19,9,82,112,0,-68,1220,-78,28,5,-23,18
-24,4,87,126,9,-63,1200,-73,28,10,-26,16
-43,4,87,131,19,-58,1200,-63,47,19,-45,25
-48,4,87,136,39,-48,1180,-58,52,22,-50,28
-39,14,92,146,43,-34,1171,-53,53,12,-46,33
-39,4,82,141,39,-34,1156,-53,43,17,-41,23
-39,0,78,131,29,-43,1137,-53,39,19,-39,19
-24,-9,78,126,24,-53,1122,-63,15,16,-19,3
-39,-14,73,131,24,-63,1107,-78,25,26,-32,5
-19,0,78,141,29,-48,1083,-68,19,9,-19,9
-4,9,82,146,29,-48,1058,-73,13,-2,-8,11
9,14,87,146,39,-48,1029,-73,5,-11,2,9
19,24,97,146,48,-39,1015,-63,5,-21,7,14
24,43,92,161,68,-29,1000,-58,19,-33,2,31
29,53,92,161,73,-29,985,-58,24,-41,2,38
39,73,87,161,73,-19,951,-53,34,-56,2,53
53,78,87,161,82,-14,936,-53,25,-65,14,51
39,73,97,156,87,4,932,-43,34,-56,2,53
19,58,92,161,97,4,922,-43,39,-38,-10,48
0,34,92,161,102,9,912,-43,34,-17,-17,34
-29,19,87,156,102,9,893,-43,48,5,-38,33
-19,4,78,151,87,9,893,-53,23,7,-21,13
-19,0,73,146,87,14,897,-48,19,9,-19,9
-4,0,68,151,92,14,888,-43,4,2,-4,2
9,0,58,131,92,14,883,-43,-9,-4,9,-4
39,39,63,156,122,34,888,-39,0,-39,19,19
63,48,73,165,131,43,902,-29,-15,-55,39,16
63,68,78,170,136,43,912,-24,5,-65,29,36
63,73,73,180,141,43,922,-19,10,-68,26,41
78,73,63,180,146,68,912,-29,-5,-75,41,34
92,78,58,175,151,73,922,-24,-14,-85,53,32
92,78,58,170,156,82,922,-24,-14,-85,53,32
92,78,58,165,161,82,922,-19,-14,-85,53,32
92,63,48,156,156,87,912,-24,-29,-77,60,17
112,58,48,156,161,87,917,-19,-54,-85,83,2
131,68,48,156,170,92,912,-19,-63,-99,97,2
146,73,43,151,175,97,917,-14,-73,-109,109,0
117,63,43,141,165,87,883,-24,-54,-90,85,4
97,53,29,136,161,82,868,-24,-44,-75,70,4
53,19,19,126,161,82,854,-24,-34,-36,43,-7
48,19,19,126,161,82,829,-24,-29,-33,38,-5
63,29,14,122,161,78,800,-34,-34,-46,48,-2
87,29,9,122,161,78,795,-29,-58,-58,72,-14
102,43,9,122,161,82,775,-14,-59,-72,80,-8
117,63,4,112,161,92,756,-14,-54,-90,85,4
141,78,-4,107,165,92,732,-19,-63,-109,102,7
136,73,-9,107,165,87,707,-19,-63,-104,99,5
126,68,-19,102,156,82,673,-24,-58,-97,92,5
112,39,-19,87,141,73,639,-43,-73,-75,92,-17
107,24,-24,87,131,68,610,-34,-83,-65,95,-29
122,29,-19,82,126,68,585,-24,-93,-75,107,-32
131,48,-24,82,126,63,570,-14,-83,-89,107,-17
146,73,-19,87,126,63,531,-14,-73,-109,109,0
146,73,-4,97,136,68,512,-19,-73,-109,109,0
141,68,0,87,131,63,517,-14,-73,-104,107,-2
136,73,0,82,126,68,492,-4,-63,-104,99,5
131,73,0,82,122,68,473,0,-58,-102,94,7
141,82,-4,78,102,53,448,-14,-59,-111,100,11
136,63,-9,68,92,53,424,-19,-73,-99,104,-5
122,58,-14,58,87,39,409,-29,-64,-90,93,-3
117,39,-19,48,82,29,400,-34,-78,-78,97,-19
97,29,-24,43,63,14,385,-48,-68,-63,82,-19
92,29,-29,34,58,4,380,-53,-63,-60,77,-17
87,19,-34,29,48,-4,375,-58,-68,-53,77,-24
73,9,-39,29,39,-4,366,-58,-64,-41,68,-27
87,39,-29,39,48,0,361,-53,-48,-63,67,-4
102,48,-9,48,53,4,366,-48,-54,-75,78,-3
117,53,0,58,58,9,390,-34,-64,-85,90,-5
126,63,9,63,58,4,395,-39,-63,-94,94,0
92,43,-9,48,43,-14,380,-48,-49,-67,70,-3
78,24,-14,34,34,-29,380,-58,-54,-51,66,-15
78,19,-14,39,34,-34,380,-63,-59,-48,68,-20
68,14,-14,34,29,-34,380,-68,-54,-41,61,-20
58,9,-9,39,24,-43,385,-73,-49,-33,53,-20
63,14,-9,39,19,-43,375,-73,-49,-38,56,-17
43,-14,-14,34,4,-53,366,-78,-57,-14,50,-35
9,-43,-14,34,0,-58,366,-87,-52,17,30,-47
14,-14,-4,43,14,-53,361,-92,-28,0,21,-21
14,-19,0,48,9,-53,341,-92,-33,2,23,-26
14,-29,4,48,9,-63,326,-87,-43,7,28,-36
24,0,9,53,9,-58,322,-82,-24,-12,24,-12
14,0,14,48,4,-68,302,-82,-14,-7,14,-7
9,-9,19,53,0,-68,283,-82,-18,0,13,-13
4,4,29,58,-9,-73,283,-82,0,-4,2,2
9,-19,29,58,-14,-73,283,-82,-28,5,18,-23
19,-4,39,68,-9,-63,263,-63,-23,-7,21,-13
24,24,53,73,-9,-58,229,-63,0,-24,12,12
58,68,58,82,-4,-53,209,-63,10,-63,24,39
82,97,68,92,9,-48,190,-63,15,-89,33,56
73,78,48,82,0,-53,165,-73,5,-75,34,41
39,58,48,82,-14,-68,126,-73,19,-48,10,38
19,39,48,73,-19,-82,87,-82,20,-29,0,29
-4,14,53,73,-24,-92,58,-92,18,-5,-11,16
-19,-9,48,68,-39,-87,24,-92,10,14,-14,0
-34,0,48,63,-39,-87,0,-87,34,17,-34,17
-58,-24,48,68,-34,-87,-29,-87,34,41,-46,5
-112,-63,53,68,-34,-92,-53,-97,49,87,-80,-7
-107,-48,53,68,-24,-92,-87,-87,59,77,-83,5
-53,-9,63,68,-29,-92,-107,-82,44,31,-48,17
-19,4,63,68,-39,-97,-117,-82,23,7,-21,13
9,19,63,68,-43,-102,-126,-87,10,-14,0,14
4,19,63,78,-53,-102,-141,-97,15,-11,-5,17
0,19,63,82,-53,-102,-156,-97,19,-9,-9,19
0,24,73,87,-53,-102,-175,-92,24,-12,-12,24
-4,24,73,87,-53,-112,-190,-92,28,-10,-16,26
-9,19,78,97,-53,-122,-180,-97,28,-5,-18,23
-34,4,82,92,-53,-122,-175,-97,38,15,-36,21
-39,-4,87,92,-53,-122,-180,-97,35,21,-37,15
-53,-19,97,97,-53,-126,-165,-102,34,36,-43,7
-68,-29,92,87,-63,-126,-156,-92,39,48,-53,5
-78,-48,92,87,-68,-126,-151,-102,30,63,-54,-9
-92,-58,87,87,-68,-136,-156,-102,34,75,-63,-12
-117,-63,87,87,-63,-136,-151,-97,54,90,-85,-4
-102,-63,73,87,-73,-141,-156,-107,39,82,-70,-12
-82,-63,73,87,-78,-151,-151,-117,19,72,-50,-22
-97,-63,78,87,-78,-156,-156,-126,34,80,-65,-14
-92,-48,78,92,-78,-156,-156,-131,44,70,-68,-2
-63,-29,92,107,-53,-131,-141,-107,34,46,-48,2
-48,-14,112,117,-43,-122,-131,-97,34,31,-41,10
-43,-4,122,126,-39,-117,-131,-97,39,23,-41,17
-48,-4,126,136,-34,-126,-131,-97,44,26,-46,20
-48,0,136,126,-43,-136,-141,-97,48,24,-48,24
-53,-19,136,126,-53,-136,-156,-97,34,36,-43,7
-73,-29,131,122,-53,-141,-161,-102,44,51,-58,7
-92,-24,131,117,-53,-141,-170,-107,68,58,-80,22
-102,-43,122,102,-58,-156,-185,-112,59,72,-80,8
-92,-53,117,107,-58,-156,-190,-107,39,72,-65,-7
-78,-39,107,107,-58,-151,-195,-102,39,58,-58,0
-73,-58,102,107,-68,-156,-200,-107,15,65,-44,-21
-97,-43,117,112,-53,-146,-200,-107,54,70,-75,5
