I,II,V1,V2,V3,V4,V5,V6,III,aVR,aVL,aVF
29,19,126,156,-29,-97,1932,29,-10,-24,19,4
29,19,126,156,-29,-97,1932,29,-10,-24,19,4
29,19,126,156,-29,-97,1932,29,-10,-24,19,4
29,19,126,156,-29,-97,1932,29,-10,-24,19,4
9,-4,122,151,-43,-107,1937,24,-13,-2,11,-8
-9,-19,117,146,-48,-107,1942,19,-10,14,0,-14
-29,-34,112,141,-53,-107,1947,14,-5,31,-12,-19
-48,-48,107,136,-58,-107,1952,9,0,48,-24,-24
-34,-34,117,141,-48,-102,1961,19,0,34,-17,-17
-19,-19,117,146,-39,-97,1961,19,0,19,-9,-9
-4,-4,117,151,-29,-92,1961,19,0,4,-2,-2
9,9,117,156,-19,-87,1961,19,0,-9,4,4
14,9,107,146,-19,-78,1966,29,-5,-11,9,2
19,9,107,146,-19,-78,1971,29,-10,-14,14,0
24,9,107,146,-19,-78,1976,29,-15,-16,19,-3
29,9,107,146,-19,-78,1981,29,-20,-19,24,-5
48,24,117,156,-9,-87,1991,24,-24,-36,36,0
58,29,117,156,-9,-87,1991,19,-29,-43,43,0
68,34,117,156,-9,-87,1991,14,-34,-51,51,0
78,39,117,156,-9,-87,1991,9,-39,-58,58,0
63,14,102,151,-14,-97,1995,4,-49,-38,56,-17
48,0,97,146,-19,-97,2000,0,-48,-24,48,-24
34,-14,92,141,-24,-97,2005,-4,-48,-10,41,-31
19,-29,87,136,-29,-97,2010,-9,-48,5,33,-38
19,-29,87,126,-19,-87,2015,-19,-48,5,33,-38
19,-29,87,126,-19,-87,2020,-19,-48,5,33,-38
19,-29,87,126,-19,-87,2025,-19,-48,5,33,-38
19,-29,87,126,-19,-87,2030,-19,-48,5,33,-38
58,-4,97,141,-9,-73,2039,-4,-62,-27,60,-33
87,19,97,146,0,-58,2039,0,-68,-53,77,-24
117,43,97,151,9,-43,2039,4,-74,-80,95,-15
146,68,97,156,19,-29,2039,9,-78,-107,112,-5
131,43,87,146,9,-43,2044,0,-88,-87,109,-22
117,29,87,146,9,-48,2049,-9,-88,-73,102,-29
102,14,87,146,9,-53,2054,-19,-88,-58,95,-37
